LATITUDE,LONGITUDE,PARCELNO,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality,SALE_PRC
25.89103061,-80.16056052,6.2228E+11,9375,1753,0,2815.9,12811.4,347.6,42815.3,37742.2,15954.9,67,0,8,4,440000
25.89132423,-80.15396752,6.2228E+11,9375,1715,0,4359.1,10648.4,337.8,43504.9,37340.5,18125,63,0,9,4,349000
25.89133415,-80.1537395,6.2228E+11,9375,2276,49206,4412.9,10574.1,297.1,43530.4,37328.7,18200.5,61,0,2,4,8.00E+05
25.89176462,-80.15265714,6.2228E+11,12450,2058,10033,4585,10156.5,0,43797.5,37423.2,18514.4,63,0,9,4,988000
25.89182457,-80.15463946,6.2228E+11,12800,1684,16681,4063.4,10836.8,326.6,43599.7,37550.8,17903.4,42,0,7,4,755000
25.8920597,-80.16135415,6.2228E+11,9900,1531,2978,2391.4,13017,188.9,43135.1,38176.2,15687.2,41,0,2,4,630000
25.89247261,-80.15721665,6.2228E+11,10387,1753,23116,3277.4,11667.8,0,43598.7,37973.9,17068.2,63,0,2,5,1020000
25.8930188,-80.15742588,6.2228E+11,10272,1663,34933,3112.4,11718.1,10.5,43780.8,38198.3,16989.9,21,0,9,4,850000
25.89304638,-80.16155628,6.2228E+11,9375,1493,11668,2081.8,13043.8,51.5,43481.7,38542,15623.3,56,0,3,4,250000
25.89304955,-80.15804769,6.2228E+11,13803,3077,34580,2937.7,11917.7,9.7,43730.1,38235.2,16787,63,0,11,5,1220000
25.89320484,-80.15553785,6.2228E+11,10848,1983,28806,3512,11062.3,12.1,44018.8,38132.1,17618.3,64,0,2,4,1160000
25.8934605,-80.16836977,6.2229E+11,8438,1794,0,242.8,15310.4,738.6,43127.5,39333.4,13433.6,51,0,11,2,260000
25.89352691,-80.16685699,6.2229E+11,8438,1509,1248,652.2,14808.8,366.5,43244.6,39200.2,13927,56,0,7,2,178000
25.89353049,-80.16666503,6.2229E+11,8438,1331,0,705,14750,353.2,43261.2,39184.8,13995.2,66,0,7,2,250000
25.89415626,-80.1590587,6.2228E+11,8475,1742,9836,2432.6,12230.7,0,44047.7,38727.5,16494,46,0,9,5,913500
25.89435703,-80.16804346,6.2229E+11,8375,1158,2677,164,15183.5,537.6,43467.9,39609.3,13555.8,65,0,11,2,159000
25.8943649,-80.16785559,6.2229E+11,8375,1064,6730,209.4,15119.1,473.2,43481.3,39591.8,13615.1,48,0,6,2,199000
25.89444092,-80.16112909,6.2228E+11,9375,2574,37975,1847.6,12871,42,44007.1,38994.4,15786.3,62,0,10,4,590000
25.89466438,-80.16106063,6.2228E+11,10625,1529,3607,1805.9,12840.6,43,44081.8,39058.8,15809.4,61,0,2,4,450000
25.89540445,-80.15440978,6.2228E+11,10875,4552,35124,3253.8,10645.2,0,44898.4,38841.8,18007.8,8,0,3,5,1870000
25.89561191,-80.15441854,6.2228E+11,10875,3137,15972,3200.4,10644.5,0,44968.8,38915.2,18007.1,31,0,5,5,1067300
25.89596639,-80.15632526,6.2228E+11,8550,2266,34952,2658.6,11300.6,0,44914.6,39159.6,17421.5,42,0,12,5,1056000
25.89659064,-80.14806985,6.2228E+11,18745,3992,22191,4621.6,8524,80.8,45894.1,38871.9,20105.8,59,0,9,5,9.00E+05
25.89680848,-80.15645777,6.2228E+11,12315,1920,34340,2395.1,11328.9,0,45179.1,39419,17352.7,21,0,5,5,1015000
25.89697407,-80.15135998,6.2228E+11,9375,2931,30962,3662.5,9665,0.2,45722.7,39195.8,19069.7,58,0,8,5,1235000
25.89707398,-80.1470643,6.2228E+11,12500,4428,41032,4815.7,8226.9,0,46198.8,39022.9,20455.9,16,0,6,5,1587500
25.89722075,-80.14896389,6.2228E+11,9375,3313,23278,4257.8,8852.7,0,46059.9,39174,19836.3,55,0,1,5,1265000
25.89758514,-80.15139176,6.2228E+11,9375,4028,62453,3523.5,9672.6,4.8,45930.7,39415.6,19068.5,2,0,1,5,2450000
25.89759339,-80.15116383,6.2228E+11,9375,3083,39782,3584.5,9599,5.6,45956.4,39406.1,19144.5,57,0,6,5,980000
25.89805873,-80.15358681,6.2228E+11,9375,2650,4946,2835,10372.8,0,45902.9,39736.8,18330.5,60,0,8,5,1130000
25.89806793,-80.15119429,6.2228E+11,9375,2566,38299,3479.1,9610.7,0,46114.7,39573.8,19140.8,58,0,2,5,1340000
25.89850411,-80.1453945,6.2228E+11,15244,3315,26097,5067.3,7668.4,0,46848.5,39436.1,21037.4,37,0,8,5,1200000
