DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G
1/1/1961,13.67,0,0.2,0,9.5,0,3.7,-1
1/2/1961,11.5,0,5.1,0,7.2,0,4.2,1.1
1/3/1961,11.25,0,0.4,0,5.5,0,0.5,-0.5
1/4/1961,8.63,0,0.2,0,5.6,0,0.4,-3.2
1/5/1961,11.92,0,10.4,0,7.2,1,-1.5,-7.5
1/6/1961,10.67,0,0,0,6.5,0,1.2,-2
1/7/1961,9.17,0,1.9,0,9.2,1,-2.4,-7.1
1/8/1961,14.29,0,0,0,6.6,0,3.1,0
1/9/1961,8.04,0,8.3,0,6.8,0,2.4,-0.8
1/10/1961,11.42,0,0,0,6.5,0,3,0.5
1/11/1961,7.54,0,0.5,0,10,1,-3.1,-7.7
1/12/1961,15.54,0,6,0,12.2,1,-3.3,NA
1/13/1961,4.63,0,0,0,13.1,0,5.5,3.3
1/14/1961,3.08,0,0,0,5.6,1,-3.2,-6.1
1/15/1961,2.5,0,0,0,4.4,1,-5,-8.3
1/16/1961,9.25,0,0,0,4.6,1,-4.2,-8.3
1/17/1961,13.42,0,2,0,9.3,0,3.2,-2.7
1/18/1961,17.83,0,8.4,0,10.1,0,4.3,5.1
1/19/1961,3.71,0,0.9,0,6.6,0,1.6,-2
1/20/1961,3.17,0,21.5,0,9.3,1,-0.6,-5.4
1/21/1961,8.04,0,0.2,0,10.1,0,1.6,0.4
1/22/1961,9.38,0,0.3,0,6.5,0,5.5,1.3
1/23/1961,13.7,0,0,0,6.5,0,5.5,2.2
1/24/1961,20.38,0,9.5,0,5.3,0,3.4,0.5
1/25/1961,9.25,0,0,0,4.3,0,2.2,1.1
1/26/1961,14.33,0,0.7,0,13,0,2.2,-1.6
1/27/1961,16.79,0,1.5,0,12.3,0,3.7,2.7
1/28/1961,12.25,0,2.8,0,12,0,4.8,-2.2
1/29/1961,22,0,6.2,0,12.6,0,4.4,1.2
1/30/1961,14.5,0,1.4,0,7.8,0,3.7,0.8
1/31/1961,14.88,0,4.7,0,7.2,0,2.1,-0.5
2/1/1961,10.17,0,2.1,0,8.7,0,1,-2.2
2/2/1961,10.88,0,0.1,0,8.1,0,1,1
2/3/1961,8.5,0,4,0,8.1,1,-0.6,-5
2/4/1961,12.54,0,5.7,0,11.3,0,0,-1.1
2/5/1961,13.96,0,8.6,0,13.5,0,4.7,2.1
2/6/1961,19.17,0,0.5,0,7.8,0,2.1,1.5
2/7/1961,14.21,0,0.3,0,11.6,0,3.2,0.7
2/8/1961,16.5,0,4.4,0,14.6,0,4.4,2.4
2/9/1961,14.37,0,0.3,0,11.7,0,6.4,3.2
2/10/1961,11.08,0,0.8,0,10.7,0,7.3,3.1
2/11/1961,17.5,0,3.5,0,11.3,0,7.3,3.8
2/12/1961,11.71,0,0,0,15.5,0,7.1,4.3
2/13/1961,16.08,0,0,0,12.7,0,8.8,6
2/14/1961,15.46,0,0,0,13.3,0,10,7.7
2/15/1961,5.17,0,0,0,13.8,0,2.5,-3.3
2/16/1961,3.42,0,0,0,12.1,0,2.5,-2.6
2/17/1961,6.17,0,0,0,11.7,0,4.4,-0.4
2/18/1961,10.88,0,0,0,13.3,0,6,4.3
2/19/1961,9.62,0,0,0,14.5,0,8.2,-0.4
2/20/1961,7.25,0,0,0,13.1,0,5.3,-1.5
2/21/1961,3.75,0,0,0,8.6,0,4.7,-2.1
2/22/1961,8.25,0,0,0,7.5,0,5.1,2.5
2/23/1961,16.38,0,4.6,0,8.8,0,5.1,2.2
2/24/1961,8.17,0,0.7,0,11,0,6.1,4.4
2/25/1961,13.08,0,3.2,0,9.8,0,2.7,-1.3
2/26/1961,21.17,0,2.1,0,14.5,0,5.2,1
2/27/1961,12.75,0,3.1,0,10.1,0,4.8,1.1
2/28/1961,14.75,0,1,0,10.6,0,3.8,0.7
3/1/1961,10.25,0,0.7,0,12.7,0,8.1,5
3/2/1961,10.88,0,0,0,12.2,0,7.2,4.3
3/3/1961,11.29,0,0,0,12.2,0,3,-1.6
3/4/1961,6.21,0,0,0,11.8,0,2.8,0.5
3/5/1961,5.5,0,0,0,17.2,0,0,-3.2
3/6/1961,2.83,0,0,0,14.4,0,4.3,1.3
3/7/1961,3.63,0,0,0,14.7,0,6,2.3
3/8/1961,1.71,0,0,0,15.1,0,4.4,0.8
3/9/1961,3.75,0,0,0,14.2,0,6.1,1.6
3/10/1961,8.79,0,0,0,11.8,0,6.7,3.8
3/11/1961,10.34,0,0,0,14.6,0,5.7,2.4
3/12/1961,17.12,0,0.1,0,13.4,0,4.8,NA
3/13/1961,13.96,0,0,0,15.5,0,10.5,9
3/14/1961,8.12,0,0,0,15.5,0,9.5,5
3/15/1961,11.54,0,0,0,16.2,0,7.1,0.5
3/16/1961,2.75,0,0,0,18.8,0,2.2,-1.2
3/17/1961,13,0,0,0,9.7,0,2.1,-1.5
3/18/1961,13.17,0,0.5,0,10.2,0,2.8,0.4
3/19/1961,7.75,0,0,2,9.6,0,3.3,-1.6
3/20/1961,15.41,0,0,0,11.8,0,2.3,-2.2
3/21/1961,8.17,0,0,0,10.3,0,1.7,-1.7
3/22/1961,8,0,0,0,12.7,0,3.1,-1.8
3/23/1961,10.88,0,0,0,9.4,0,5.5,5
3/24/1961,8.46,0,0,0,14.5,0,6.1,5.2
3/25/1961,10.75,0,0,0,12.2,0,3.2,-1.6
3/26/1961,13.75,0,0.3,0,11.8,0,8.4,5.5
3/27/1961,6.75,0,0,0,11.7,1,-0.8,-5
3/28/1961,10.88,0,1.1,0,13.3,0,0.4,-2.6
3/29/1961,16.62,0,1.8,0,14.7,2,7.5,5.5
3/30/1961,14.79,0,1.8,0,13.8,0,9.5,8.6
3/31/1961,11.92,0,1.1,0,14.5,0,7.1,2.7
4/1/1961,11.67,0,2.5,0,13.7,0,8.8,7.7
4/2/1961,5.25,0,0,0,10.3,0,5.2,5
4/3/1961,5.5,0,2.6,0,6.6,0,3.4,3.2
4/4/1961,6,0,9.6,0,10.8,0,3.8,1.6
4/5/1961,9.25,0,4.2,0,14.3,0,4.7,4.2
4/6/1961,5,0,0,0,11.8,0,8,6.3
4/7/1961,5.33,0,0,0,10.2,0,1.1,-0.5
4/8/1961,8.71,0,8.1,0,12.1,0,3.8,-0.8
4/9/1961,9.96,0,1.9,0,12,0,8.8,8.3
4/10/1961,5.21,0,1.9,0,14.4,0,9.4,9
4/11/1961,5.66,0,5.8,0,16.1,0,3.7,-0.2
4/12/1961,6.54,0,7.8,0,13.7,0,10.4,9.3
4/13/1961,8,0,0.1,0,15,0,9,3.1
4/14/1961,4.29,0,0.5,0,14.6,0,7,3.3
4/15/1961,2.46,0,0,0,12.7,0,3.4,0
4/16/1961,2.88,0,0,0,12.2,0,2.3,-1.2
4/17/1961,4.46,0,0,0,15.5,0,3.8,-0.8
4/18/1961,5.66,0,0.2,0,10.7,0,6.7,3.6
4/19/1961,12.96,0,3.7,0,11.6,0,7.6,-1.1
4/20/1961,12.25,0,1,0,12.4,0,7.5,NA
4/21/1961,9.5,0,3.6,0,16.4,0,8.4,1.6
4/22/1961,7.46,0,11,0,12.6,0,9.3,3.8
4/23/1961,10.71,0,1.8,0,12.8,0,6.7,1.3
4/24/1961,5.25,0,2.8,0,13.8,0,2.4,-2.2
4/25/1961,13.75,0,17.2,0,12.8,0,7.7,1.1
4/26/1961,6,0,0,0,16.2,0,6.7,-0.1
4/27/1961,6.25,0,0,0,16.8,0,7.2,1.6
4/28/1961,2.67,0,0,0,15.5,0,2.7,-2.6
4/29/1961,4.04,0,4,0,15.7,0,7.1,3.8
4/30/1961,5.09,0,1.6,0,16.5,0,9,NA
5/1/1961,9.96,0,7.3,0,19.2,0,8.2,NA
5/2/1961,10.46,0,3.4,0,13,0,7.7,NA
5/3/1961,9.5,0,0.4,0,15.5,0,7.4,6.6
5/4/1961,5.96,0,2,0,16.7,0,10.5,7.8
5/5/1961,9.13,0,0.7,0,16.1,0,6.2,3
5/6/1961,16.83,0,0.8,0,15.5,0,9.2,6.2
5/7/1961,18.21,0,2.3,0,13.3,0,6.8,4.6
5/8/1961,18.58,0,0,0,15,0,7.2,5.5
5/9/1961,7.25,0,0,0,16.7,0,5.4,2.7
5/10/1961,3.33,0,0,0,17.1,0,2.1,-1
5/11/1961,3.67,0,0,0,19.7,0,2.2,0.3
5/12/1961,5.17,0,0,0,19.8,0,6.5,1.4
5/13/1961,5.21,0,0.2,0,22.1,0,5.1,0.1
5/14/1961,10.04,0,1.4,0,15.7,0,10.2,6.6
5/15/1961,5.91,0,0,0,14.7,0,9,8.5
5/16/1961,8.38,0,0,0,13.1,0,8.8,4.6
5/17/1961,5.83,0,0,0,13.4,0,3,-0.4
5/18/1961,5.04,0,0,0,12.7,0,4.3,-1.2
5/19/1961,6.83,0,0,0,14.6,0,5,0.5
5/20/1961,4.71,0,0,0,14.7,0,9,7.2
5/21/1961,3.17,0,0,0,15.2,0,3.4,-0.7
5/22/1961,2.42,0,0,0,14.4,0,6.2,1.1
5/23/1961,3.13,0,0,0,14.5,0,9.4,8.7
5/24/1961,4,0,0.2,0,14.6,0,10.4,10
5/25/1961,6.79,0,1.6,0,12.7,0,8.1,8.4
5/26/1961,9.33,0,0,0,10.6,0,4.6,2.2
5/27/1961,4.92,0,0,0,12.5,0,3.2,-1.2
5/28/1961,5.41,0,0,0,14,0,1,-2.8
5/29/1961,11.71,0,1.8,0,13.3,0,9.2,7.5
5/30/1961,5.83,0,0,0,14.2,0,10,8.1
5/31/1961,6.58,0,0,0,17,0,7.8,3.3
6/1/1961,9.75,0,0,0,17,0,5,3.2
6/2/1961,7.92,0,0,0,17.8,0,10.5,10.1
6/3/1961,10.41,0,0,0,18.7,0,11.7,10.8
