carID,brand,model,year,mileage,tax,mpg,engineSize,price,transmission,fuelType
13207,hyundi, Santa Fe,2019,4223,145,39.8,2.2,31995,Semi-Auto,Diesel
17314,vauxhall, GTC,2015,47870,125,60.1,2,7700,Manual,Diesel
12342,audi, RS4,2019,5151,145,29.1,2.9,58990,Automatic,Petrol
13426,vw, Scirocco,2016,20423,30,57.6,2,12999,Automatic,Diesel
16004,skoda, Scala,2020,3569,145,47.1,1,16990,Semi-Auto,Petrol
18964,merc, V Class,2019,4170,145,44.1,2.1,40890,Automatic,Diesel
17053,toyota, Prius,2020,3,135,64.2,1.8,25990,Automatic,Hybrid
19021,bmw, M4,2019,101,145,34,3,41980,Semi-Auto,Petrol
17429,toyota, Camry,2019,6340,135,52.3,2.5,25490,Automatic,Hybrid
16726,ford, KA,2012,85843,30,57.7,1.2,3491,Manual,Petrol
17081,vauxhall, Vivaro,2016,40230,160,50.4,1.6,13750,Manual,Diesel
18995,merc, CLS Class,2016,47156,125,57.7,2.1,17999,Automatic,Diesel
13055,vw, Caravelle,2019,5000,145,33.6,2,46050,Automatic,Diesel
12510,vw, Arteon,2018,20656,145,47.1,2,20498,Semi-Auto,Petrol
13430,vw, Shuttle,2018,31824,145,47.1,2,22750,Manual,Diesel
19049,hyundi, I40,2019,20,145,52.3,1.6,16000,Manual,Diesel
17822,hyundi, IX20,2015,34878,200,43.6,1.6,6890,Automatic,Petrol
16655,hyundi, Santa Fe,2019,9970,145,39.2,2.2,31269,Automatic,Diesel
18480,bmw, 6 Series,2017,18895,145,51.4,3,25998,Semi-Auto,Diesel
16270,merc, GL Class,2016,11653,20,67.3,2.1,17999,Automatic,Diesel
14435,merc, S Class,2017,12653,145,52.3,3,37500,Automatic,Diesel
13161,ford, KA,2015,17041,30,57.7,1.2,4995,Manual,Petrol
12817,audi, S3,2015,48800,205,39.8,2,17950,Manual,Petrol
12857,skoda, Yeti,2016,13156,125,51.4,1.2,13495,Semi-Auto,Petrol
